-92,-11,2,8,-76,29
-93,-10,2,8,-76,29
-93,-10,2,9,-78,29
-93,-10,2,9,-78,2
-93,-14,-1,10,-75,1
-93,-14,-1,10,-75,304
-103,-14,1,10,-75,2342
-103,-14,1,13,-86,0
-103,-16,-2,8,-84,489
-103,-16,-2,8,-84,34
-101,-14,-6,8,-84,3599
-101,-14,-6,8,-84,3424
-102,-14,0,8,-84,7257
-102,-14,0,8,-84,0
-101,-15,4,8,-84,1231
-101,-15,4,8,-84,16389
-102,-13,-4,8,-84,1
-102,-13,-4,11,0,0
-102,-11,11,11,0,0
-102,-11,11,11,0,0
-102,-12,5,11,0,2
-102,-12,5,11,0,0
-102,-16,3,11,0,0
-102,-16,3,11,0,0
-102,-11,7,11,0,0
-102,-11,7,11,0,0
-102,-11,8,11,0,0
-102,-11,8,12,-86,52
-101,-11,5,10,0,0
-101,-11,5,15,0,0
-100,-9,7,15,0,0
-100,-9,7,15,0,1
-101,-14,4,15,0,0
-101,-14,4,14,0,0
-100,-10,6,12,-88,0
-100,-10,6,12,-88,3
-100,-11,6,9,-86,0
-100,-11,6,9,-86,0
-100,-12,-4,9,-86,0
-100,-12,-4,9,-86,0
-100,-13,3,9,-86,0
-100,-13,3,9,-86,0
-100,-16,7,9,-86,3
-100,-16,7,9,-86,0
-101,-14,-4,9,-86,0
-101,-14,-4,13,-84,0
-98,-15,4,13,-87,12226
-98,-15,4,10,-84,42741
-98,-13,4,10,-84,35773
-98,-13,4,10,-84,28744
-99,-12,11,14,-82,283
-99,-12,11,14,0,635
-100,-15,-9,14,0,280
-100,-15,-9,14,0,0
-100,-16,4,12,-84,280
-100,-16,4,12,-84,1327
-100,-16,2,14,-82,276
-100,-16,2,14,-85,641
-101,-16,2,14,-85,283
-101,-16,2,14,-85,0
-100,-12,3,14,-85,405
-100,-12,3,14,-85,554
-100,-12,6,14,0,277
-100,-12,6,14,-87,0
-100,-14,-1,14,-87,2512
-100,-14,-1,12,-84,0
-101,-12,1,12,-84,279
-101,-12,1,12,-84,1580
-101,-11,7,12,-84,280
-101,-11,7,12,-84,0
-99,-12,9,12,-84,279
-99,-12,9,12,-84,2303
-99,-16,8,12,-84,0
-99,-16,8,14,0,279
-99,-15,6,12,-82,1331
-99,-15,6,12,-82,280
