-92,-11
-93,-10
-93,-10
-93,-10
-93,-14
-93,-14
-103,-14
-103,-14
-103,-16
-103,-16
-101,-14
-101,-14
-102,-14
-102,-14
-101,-15
-101,-15
-102,-13
-102,-13
-102,-11
-102,-11
-102,-12
-102,-12
-102,-16
-102,-16
-102,-11
-102,-11
-102,-11
-102,-11
-101,-11
-101,-11
-100,-9
-100,-9
-101,-14
-101,-14
-100,-10
-100,-10
-100,-11
-100,-11
-100,-12
-100,-12
-100,-13
-100,-13
-100,-16
-100,-16
-101,-14
-101,-14
-98,-15
-98,-15
-98,-13
-98,-13
-99,-12
-99,-12
-100,-15
-100,-15
-100,-16
-100,-16
-100,-16
-100,-16
-101,-16
-101,-16
-100,-12
-100,-12
-100,-12
-100,-12
-100,-14
-100,-14
-101,-12
-101,-12
-101,-11
-101,-11
-99,-12
-99,-12
-99,-16
-99,-16
-99,-15
-99,-15
-98,-10
-98,-10
-101,-12
-101,-12
-100,-13
-100,-13
-99,-13
-99,-13
-99,-16
-99,-16
-99,-15
-99,-15
-100,-13
-100,-13
-99,-13
-99,-13
-99,-14
-99,-14
-100,-10
-100,-10
-99,-14
-99,-14
-101,-11
-101,-11
-100,-12
-100,-12
-98,-13
-98,-13
-98,-11
-98,-11
-90,-8
-90,-8
-88,-7
-88,-7
-88,-10
-88,-10
-85,-8
-85,-8
-78,-9
-78,-9
-78,-9
-90,-8
-90,-8
-79,-10
-79,-10
-82,-9
-82,-9
-83,-10
-83,-10
-78,-8
-78,-8
-78,-8
-77,-10
-77,-10
-85,-11
-85,-11
-82,-9
-82,-9
-81,-15
-81,-15
-81,-9
-81,-9
-86,-8
-86,-8
-81,-10
-81,-10
-81,-10
-83,-8
-83,-8
-87,-9
-87,-9
-83,-10
-83,-10
-90,-9
-90,-9
-90,-9
-91,-13
-91,-13
-95,-10
-95,-10
-93,-9
-93,-9
-89,-9
-89,-9
-89,-9
-89,-10
-89,-10
-90,-10
-90,-10
-93,-11
-93,-11
-91,-12
-91,-12
-89,-15
-89,-15
-89,-15
-90,-13
-90,-13
-89,-12
-89,-12
-84,-14
-84,-14
-84,-14
-84,-14
-83,-11
-83,-11
-83,-9
-83,-9
-83,-8
-83,-8
-83,-9
-83,-9
-87,-9
-87,-9
-87,-12
-87,-12
-91,-10
-91,-10
-90,-14
-90,-14
-95,-17
-95,-17
-95,-17
-97,-11
-97,-11
-95,-12
-95,-12
-97,-12
-97,-12
-97,-12
-96,-14
-96,-14
-92,-12
-92,-12
-96,-11
-96,-11
-97,-12
-97,-12
-97,-12
-95,-13
-95,-13
-89,-11
-89,-11
-91,-11
-91,-11
-91,-11
-90,-10
-90,-10
-93,-11
-93,-11
-92,-10
-92,-10
-93,-9
-92,-13
-92,-13
-89,-9
-89,-9
-88,-10
-88,-10
-87,-10
-87,-10
-90,-10
-90,-10
-90,-12
-90,-12
-85,-9
-85,-9
-83,-10
-83,-10
-85,-8
-85,-8
-86,-8
-86,-8
-86,-8
-83,-9
-83,-9
-81,-10
-81,-10
-70,-10
-70,-10
-70,-10
-90,-9
-90,-9
-90,-12
-90,-12
-91,-10
-91,-10
-86,-11
-86,-11
-86,-11
-81,-9
-81,-9
-87,-10
-87,-10
-95,-10
-95,-10
-94,-11
-94,-11
-94,-11
-88,-15
-88,-15
-82,-10
-82,-10
-83,-11
-83,-11
-75,-11
-75,-11
-90,-13
-90,-13
-90,-13
-94,-13
-94,-13
-90,-10
-90,-10
-93,-11
-93,-11
-93,-11
-95,-11
-95,-11
-93,-12
-93,-12
-93,-11
-93,-11
-93,-11
-89,-13
-89,-13
-96,-9
-96,-9
-92,-10
-92,-10
-92,-10
-82,-9
-82,-9
-91,-10
-91,-10
-92,-12
-92,-11
-92,-11
-90,-12
-90,-12
-93,-13
-93,-13
-88,-11
-88,-11
-88,-11
-94,-12
-94,-12
-93,-11
-93,-11
-93,-11
-93,-11
-93,-11
-89,-9
-89,-9
-83,-7
-83,-7
-83,-7
-81,-7
-81,-7
-86,-7
-86,-7
-86,-7
-82,-7
-82,-7
-89,-8
-89,-8
-93,-8
-93,-8
-93,-8
-86,-7
-86,-7
-74,-7
-74,-7
-76,-6
-76,-6
-76,-6
-72,-6
-72,-6
-77,-6
-77,-6
-76,-6
-76,-6
-78,-7
-78,-7
-78,-7
-84,-7
-84,-7
-89,-10
-89,-10
-90,-7
-90,-7
-90,-7
-87,-8
-87,-8
-86,-10
-86,-10
-77,-9
-77,-9
-77,-9
-76,-10
-76,-10
-96,-9
-96,-9
-97,-9
-97,-9
-96,-9
-96,-9
-96,-9
-97,-8
-97,-8
-94,-7
-94,-7
-87,-7
-87,-7
-87,-7
-97,-7
-97,-7
-90,-7
-90,-7
-92,-7
-92,-7
-92,-7
-81,-6
-81,-6
-86,-7
-86,-7
-98,-7
-98,-7
-98,-7
-109,-11
-109,-11
-105,-12
-105,-12
-105,-12
-106,-15
-106,-15
-105,-14
-105,-14
-105,-16
-105,-16
